query_user,query_user_name,neighbors,same_user_neighbors,other_user_neighbors,same_user_fraction,same_user_mean_age,other_user_mean_age,same_user_mean_raw_distance,other_user_mean_raw_distance,same_user_mean_instance_distance,other_user_mean_instance_distance
54,55,181800,88782,93018,0.4883498349834984,879.855105764682,1423.2938141004968,958.4324659824597,1108.1718603242136,0.596901934192359,0.742158080731234
55,56,181800,57992,123808,0.318987898789879,566.8957097530694,736.955350219695,40.934128472189656,43.533962304338246,0.6051103216811146,0.65637832942341
56,58,181800,124188,57612,0.6831023102310231,581.9085902019518,1103.2609872943137,131.11257785506288,179.57777708281762,0.5533687122307503,0.7314069001991484
57,59,181800,86565,95235,0.47615511551155115,724.4980765898458,1074.8287919357379,108.21454105852024,175.73095461197047,0.6572968757889999,0.7635550149649205
58,60,181800,152105,29695,0.8366611661166117,658.6011505210216,927.0045462199023,97.60671877331379,113.84165716548624,0.6724205457162216,0.7191446919857923
59,61,181800,108669,73131,0.5977392739273928,683.3790685476079,738.1098576527054,20.852865272114208,26.327230095734567,0.5651217992513373,0.5706993669768236
60,62,181800,150769,31031,0.8293124312431243,648.1139756846567,749.2399213689537,22.089589073781507,29.85206061647162,0.41541350013476286,0.5355058245562296
61,63,181800,123192,58608,0.6776237623762377,701.3621663744399,955.555692055692,51.1633137894711,60.084660609563194,0.5714367146287033,0.6319177009464286
62,64,181800,146728,35072,0.8070847084708471,683.5534594624066,1398.3962135036497,31.79977175491495,76.8318519693439,0.4025435575568574,0.863108517202705
63,65,181800,120990,60810,0.6655115511551155,697.0681874535086,1197.9248149975333,46.56607455220417,57.30306086829571,0.610585833268034,0.6237276156022936
64,66,181800,138835,42965,0.7636688668866887,596.058803615803,815.865378796695,25.259907106230624,32.737515121392484,0.6237483377186966,0.626105601364723
65,67,181800,88728,93072,0.4880528052805281,605.363808493373,930.4254770500257,33.34686811801579,38.705808165640235,0.5556549653219458,0.6182109211921021
66,68,181800,86102,95698,0.4736083608360836,1086.3477271143527,1232.6238792869235,36.50537675088996,42.0125723455156,0.620483272485981,0.8179928364839102
67,69,181800,149335,32465,0.8214246424642464,638.3161080791509,932.5513630063145,21.229905257760034,25.7147950749799,0.7078128272899087,0.8007422467895929
68,70,181800,92419,89381,0.5083553355335534,591.8338869712937,1157.3490562871305,20.439193052981327,43.55309453334226,0.5925224645744881,0.8575371580172129
69,71,181800,148041,33759,0.8143069306930693,661.7585668834985,1458.6233004532126,13.221850208918042,17.562487641754913,0.5779116227953341,0.7966468662598245
